hjd,camera,mag,mag_err,flux,flux_err
2457980.08837,bb,15.74,0.06827,1.94,0.122
2456984.7726,bb,15.744,0.06847,1.934,0.122
2457297.99471,bb,15.575,0.06053,2.259,0.126
2456460.05384,bb,16.085,0.08734,1.412,0.113
2456971.9157,bb,15.624,0.06274,2.159,0.125
2456513.88801,bb,15.807,0.07167,1.824,0.12
2456899.96249,bb,15.956,0.07976,1.591,0.117
2457673.8397,bb,15.792,0.0709,1.849,0.121
2458119.76442,bb,16.105,0.08855,1.387,0.113
2458408.87041,bb,15.811,0.07188,1.817,0.12
2457003.78489,bb,15.973,0.08073,1.566,0.116
2457976.03787,bb,15.235,0.04737,3.09,0.135
2457222.00859,bb,15.896,0.07642,1.681,0.118
2457328.93715,bb,15.353,0.05153,2.772,0.131
2458312.04435,bb,16.15,0.09134,1.33,0.112
2457583.99146,bb,15.498,0.05723,2.425,0.128
2456970.89548,bb,15.811,0.07188,1.817,0.12
2456919.93822,bb,15.285,0.04908,2.952,0.133
2457324.70899,bb,15.868,0.0749,1.724,0.119
2457385.76846,bb,16.025,0.08375,1.492,0.115
2456875.04268,bb,15.92,0.07774,1.644,0.118
2458322.96059,bb,15.65,0.06394,2.108,0.124
2457669.74624,bb,15.519,0.05811,2.379,0.127
2458015.01543,bb,15.496,0.05715,2.43,0.128
2456491.95349,bb,15.984,0.08136,1.55,0.116
2457700.91271,bb,15.767,0.06962,1.894,0.121
2457756.75147,bb,15.706,0.0666,2.003,0.123
2458430.86751,bb,15.686,0.06564,2.04,0.123
2457323.85856,bb,15.341,0.05108,2.802,0.132
2457961.98949,bb,15.528,0.05849,2.358,0.127
2456874.05623,bb,15.923,0.07791,1.639,0.117
2457653.05075,bb,16.105,0.08855,1.387,0.113
2456924.92968,bb,16.098,0.08813,1.396,0.113
2458337.03716,bb,16.013,0.08305,1.509,0.115
2456918.07313,bb,15.939,0.0788,1.616,0.117
2457181.09236,bb,15.799,0.07126,1.838,0.12
2456444.10249,bb,16.118,0.08935,1.37,0.113
2457926.06546,bb,15.916,0.07752,1.65,0.118
2456906.83934,bb,15.856,0.07425,1.744,0.119
2457971.98234,bb,16.135,0.0904,1.348,0.112
2457308.89724,bb,15.932,0.07841,1.626,0.117
2457261.99639,bb,15.725,0.06753,1.967,0.122
2458299.0205,bb,16.127,0.08991,1.358,0.112
2457992.85081,bb,16.087,0.08746,1.41,0.113
2456860.03245,bb,16.124,0.08972,1.362,0.112
2456476.11135,bb,15.668,0.06478,2.074,0.124
2457388.75041,bb,15.333,0.05079,2.824,0.132
2458447.86495,bb,15.769,0.06972,1.889,0.121
2457969.92291,bb,15.507,0.05761,2.406,0.128
2458423.93372,bb,15.688,0.06573,2.035,0.123
2457589.95778,bb,16.361,0.10507,1.095,0.106
2457364.83598,bb,15.92,0.07774,1.645,0.118
2458348.99839,bb,15.481,0.05653,2.462,0.128
2458390.83794,bb,15.641,0.06352,2.127,0.124
2458344.9599,bb,15.618,0.06246,2.172,0.125
2457001.79905,bb,15.417,0.05396,2.613,0.13
2457229.96406,bb,16.015,0.08316,1.506,0.115
2457169.1088,bb,16.03,0.08405,1.486,0.115
2457271.07903,bb,15.934,0.07852,1.623,0.117
2458417.87973,bb,15.627,0.06287,2.154,0.125
2457999.99136,bb,16.053,0.08541,1.455,0.114
2457372.8164,bb,16.01,0.08287,1.514,0.115
2457368.71118,bb,15.924,0.07796,1.637,0.117
2456527.96823,bb,15.515,0.05794,2.387,0.127
2457311.85236,bb,16.033,0.08422,1.482,0.115
2456507.9777,bb,15.958,0.07988,1.588,0.117
2457680.7935,bb,15.998,0.08217,1.53,0.116
2456563.00827,bb,15.876,0.07533,1.712,0.119
2456535.06836,bb,16.101,0.08831,1.392,0.113
2457627.04794,bb,15.91,0.07719,1.66,0.118
2456452.06376,bb,16.003,0.08246,1.523,0.116
2456989.80124,bb,16.026,0.08381,1.491,0.115
2456306.71508,bb,15.268,0.04849,2.998,0.134
2457989.07805,bb,15.595,0.06142,2.218,0.125
2457036.71743,bb,15.355,0.0516,2.766,0.131
2457242.95782,bb,16.011,0.08293,1.511,0.115
2457670.86822,bb,15.421,0.05412,2.604,0.13
2457344.88299,bb,15.801,0.07136,1.835,0.12
2456799.10385,bb,16.208,0.09501,1.261,0.11
2457255.90704,bb,16.018,0.08334,1.503,0.115
2457023.76392,bb,15.348,0.05134,2.785,0.132
2457737.81146,bb,16.05,0.08523,1.458,0.114
2457272.89345,bb,16.045,0.08493,1.466,0.115
2457206.00879,bb,15.619,0.06251,2.169,0.125
2457703.71608,bb,15.714,0.06699,1.987,0.122
2457246.05691,bb,15.453,0.05539,2.527,0.129
2456820.07561,bb,15.276,0.04876,2.975,0.133
2457362.84037,bb,15.457,0.05555,2.517,0.129
2457231.93804,bb,15.416,0.05392,2.615,0.13
2457233.11502,bb,15.612,0.06219,2.184,0.125
2457241.08458,bb,15.792,0.0709,1.849,0.121
2456631.72059,bb,15.554,0.05961,2.303,0.126
2458010.98409,bb,15.632,0.0631,2.143,0.124
2457391.75125,bb,15.828,0.07277,1.79,0.12
2457941.00744,bb,15.861,0.07452,1.736,0.119
2457574.02168,bb,15.859,0.07441,1.739,0.119
2456469.02618,bb,15.991,0.08177,1.54,0.116
2458079.87558,bb,15.391,0.05296,2.676,0.13
2457227.02949,bb,15.86,0.07447,1.737,0.119
2458381.01908,bb,16.162,0.09209,1.315,0.111
2458406.88112,bb,16.005,0.08258,1.521,0.116
2457380.70608,bb,15.964,0.08022,1.578,0.116
2457687.88668,bb,15.71,0.0668,1.995,0.123
2457939.00708,bb,15.869,0.07495,1.723,0.119
2457675.97591,bb,15.567,0.06018,2.276,0.126
2456862.12219,bb,16.03,0.08405,1.486,0.115
2456288.72971,bb,15.635,0.06324,2.138,0.124
2456973.80762,bb,15.975,0.08085,1.563,0.116
2456903.9822,bb,15.997,0.08211,1.531,0.116
2457765.72362,bb,15.602,0.06174,2.204,0.125
2458019.02733,bb,15.692,0.06593,2.029,0.123
2456916.94451,bb,15.924,0.07796,1.639,0.118
2457761.72223,bb,15.627,0.06287,2.154,0.125
2457658.97339,bb,15.349,0.05138,2.783,0.132
2456658.74353,bb,15.333,0.05079,2.824,0.132
2457177.0643,bb,16.308,0.10153,1.15,0.107
2456573.82847,bb,15.945,0.07914,1.606,0.117
2456929.86038,bb,16.046,0.08499,1.463,0.114
2456864.02168,bb,16.077,0.08685,1.423,0.114
2457697.94333,bb,15.465,0.05587,2.499,0.128
2456876.91517,bb,15.799,0.07126,1.837,0.12
2456884.90517,bb,15.866,0.07479,1.728,0.119
2457278.01536,bb,15.9,0.07664,1.675,0.118
2458361.09208,bb,15.841,0.07345,1.768,0.119
2456896.88124,bb,15.59,0.0612,2.228,0.125
2456892.9726,bb,15.595,0.06142,2.218,0.125
2457548.07764,bb,15.891,0.07614,1.689,0.118
2458378.79134,bb,15.844,0.07361,1.763,0.119
2457657.01422,bb,16.034,0.08428,1.48,0.115
2456523.96709,bb,15.433,0.05459,2.575,0.129
2457540.09622,bb,15.763,0.06942,1.9,0.121
2458321.9508,bb,15.771,0.06983,1.886,0.121
2456532.9628,bb,15.388,0.05284,2.683,0.13
2457288.80243,bb,16.223,0.09597,1.243,0.11
2457560.06875,bb,15.702,0.06641,2.009,0.123
2457213.0508,bb,16.026,0.08381,1.491,0.115
2457356.80175,bb,15.881,0.0756,1.703,0.118
2457207.0879,bb,15.278,0.04883,2.97,0.133
2456521.89739,bb,15.933,0.07847,1.624,0.117
2457996.93176,bb,15.37,0.05216,2.729,0.131
2457397.73026,bb,15.826,0.07266,1.792,0.12
2457637.04569,bb,15.568,0.06022,2.275,0.126
2456819.08726,bb,15.749,0.06872,1.924,0.122
2456866.01344,bb,15.864,0.07468,1.731,0.119
2457316.85956,bb,16.088,0.08752,1.408,0.113
2456913.97203,bb,15.855,0.0742,1.745,0.119
2456986.80721,bb,16.016,0.08322,1.505,0.115
2457263.9254,bb,15.968,0.08045,1.573,0.116
2457678.94795,bb,16.193,0.09405,1.279,0.111
2457912.07251,bb,15.922,0.07785,1.641,0.118
2457694.82579,bb,15.987,0.08154,1.546,0.116
2457547.08111,bb,15.967,0.08039,1.574,0.116
2457314.87787,bb,15.421,0.05412,2.603,0.13
2458289.0646,bb,16.174,0.09285,1.302,0.111
2457275.0057,bb,15.868,0.0749,1.724,0.119
2456884.12106,bb,15.965,0.08027,1.577,0.116
2456868.99997,bb,16.008,0.08275,1.516,0.115
2457639.91878,bb,15.699,0.06626,2.015,0.123
2457211.04356,bb,15.379,0.0525,2.705,0.131
2456814.09092,bb,15.915,0.07746,1.652,0.118
2457401.72012,bb,15.33,0.05068,2.832,0.132
2457917.07525,bb,15.983,0.08131,1.551,0.116
2457931.02074,bb,15.64,0.06347,2.127,0.124
2456835.04994,bb,16.03,0.08405,1.485,0.115
2457744.78954,bb,15.516,0.05798,2.386,0.127
2457299.0206,bb,15.543,0.05914,2.326,0.127
2456891.96843,bb,15.796,0.0711,1.843,0.121
2456487.97398,bb,15.779,0.07023,1.872,0.121
2457038.71233,bb,16.116,0.08923,1.373,0.113
2457981.9971,bb,15.925,0.07802,1.637,0.118
2458034.88175,bb,15.804,0.07152,1.83,0.12
2458033.00017,bb,15.521,0.0582,2.374,0.127
2455946.74938,bb,15.44,0.05487,2.559,0.129
2457905.09223,bb,15.698,0.06621,2.017,0.123
2457377.78166,bb,15.835,0.07314,1.778,0.12
2458434.89816,bb,15.865,0.07473,1.729,0.119
2457306.00149,bb,15.805,0.07157,1.828,0.12
2458449.77204,bb,15.966,0.08033,1.576,0.116
2457735.5388,bf,16.479,99.99,0.937,0.197
2457746.77571,bb,15.936,0.07863,1.62,0.117
2456788.10896,bb,15.836,0.07319,1.776,0.12
2458008.07518,bb,15.984,0.08136,1.551,0.116
2456538.91844,bb,15.979,0.08108,1.557,0.116
2457318.85648,bb,15.583,0.06089,2.242,0.126
2457176.09544,bb,15.361,0.05182,2.751,0.131
2457706.83023,bb,16.018,0.08334,1.502,0.115
2458021.95357,bb,15.865,0.07473,1.729,0.119
2456462.0623,bb,15.842,0.07351,1.767,0.12
2456915.07242,bb,15.753,0.06892,1.918,0.122
2457359.79413,bb,16.066,0.08619,1.437,0.114
2458295.02815,bb,15.896,0.07642,1.681,0.118
2457959.10858,bb,15.279,0.04887,2.967,0.133
2456967.90778,bb,15.288,0.04918,2.944,0.133
2457553.05532,bb,15.719,0.06724,1.978,0.122
2458074.80453,bb,15.452,0.05535,2.531,0.129
2457690.91945,bb,15.963,0.08016,1.58,0.117
2456465.03553,bb,15.925,0.07802,1.636,0.117
2457320.91043,bb,16.125,0.08978,1.361,0.112
2458028.89212,bb,16.081,0.08709,1.418,0.114
